LOCATIONID,LOCATIONNAME,median_price,median_unitprice,median_constructed_area,N
0-EU-ES-28-07-001-079-01-001,Palacio,383000.0,4800.0,82.0,1388
0-EU-ES-28-07-001-079-01-002,Lavapiés-Embajadores,238000.0,4316.66666666667,55.0,2949
0-EU-ES-28-07-001-079-01-003,Huertas-Cortes,500000.0,5264.78984932593,103.0,858
0-EU-ES-28-07-001-079-01-004,Chueca-Justicia,477000.0,5755.10204081633,89.0,1233
0-EU-ES-28-07-001-079-01-005,Malasaña-Universidad,333000.0,4960.0,68.0,2095
0-EU-ES-28-07-001-079-01-006,Sol,538000.0,5162.5,109.0,717
0-EU-ES-28-07-001-079-02-001,Imperial,302000.0,3936.9047619047597,80.0,472
0-EU-ES-28-07-001-079-02-002,Acacias,342500.0,3974.583333333335,86.5,676
0-EU-ES-28-07-001-079-02-003,Chopera,264000.0,3672.8257406817447,72.0,630
0-EU-ES-28-07-001-079-02-004,Legazpi,384500.0,4233.854166666665,94.0,324
0-EU-ES-28-07-001-079-02-005,Delicias,287500.0,3885.338725985845,80.0,640
0-EU-ES-28-07-001-079-02-006,Palos de Moguer,279000.0,4000.0,70.0,823
0-EU-ES-28-07-001-079-03-001,Pacífico,353000.0,3979.16666666667,90.0,829
0-EU-ES-28-07-001-079-03-002,Adelfas,382000.0,4146.654719235365,97.0,406
0-EU-ES-28-07-001-079-03-003,Estrella,465000.0,4027.9643805655396,105.5,424
0-EU-ES-28-07-001-079-03-004,Ibiza,507500.0,5236.2031855359455,100.0,744
0-EU-ES-28-07-001-079-03-005,Jerónimos,684500.0,5536.13445378151,152.0,350
0-EU-ES-28-07-001-079-03-006,Niño Jesús,578000.0,4618.87351778656,128.5,362
0-EU-ES-28-07-001-079-04-001,Recoletos,1268000.0,7483.60655737705,172.0,805
0-EU-ES-28-07-001-079-04-002,Goya,538000.0,5653.22580645161,100.0,1647
0-EU-ES-28-07-001-079-04-003,Fuente del Berro,339500.0,4263.960040983605,80.0,700
0-EU-ES-28-07-001-079-04-004,Guindalera,355000.0,4253.371695738175,86.0,1478
0-EU-ES-28-07-001-079-04-005,Lista,598000.0,5560.199942045785,105.0,1102
0-EU-ES-28-07-001-079-04-006,Castellana,1000000.0,6532.84671532847,157.0,863
0-EU-ES-28-07-001-079-05-001,El Viso,923500.0,5521.291291291295,168.0,566
0-EU-ES-28-07-001-079-05-002,Prosperidad,348000.0,4137.5,87.0,969
0-EU-ES-28-07-001-079-05-003,Ciudad Jardín,365000.0,4369.23076923077,87.0,477
0-EU-ES-28-07-001-079-05-004,Bernabéu-Hispanoamérica,582500.0,4959.910714285716,118.0,862
0-EU-ES-28-07-001-079-05-005,Nueva España,721500.0,5231.159420289855,134.5,726
0-EU-ES-28-07-001-079-05-006,Castilla,496500.0,4206.484786673465,121.5,430
0-EU-ES-28-07-001-079-06-001,Bellas Vistas,192500.0,3280.70175438597,60.0,916
0-EU-ES-28-07-001-079-06-002,Cuatro Caminos,388000.0,4195.40229885058,91.0,1005
0-EU-ES-28-07-001-079-06-003,Cuzco-Castillejos,391000.0,4100.0,95.0,669
0-EU-ES-28-07-001-079-06-004,Ventilla-Almenara,227500.0,3191.454545454545,78.0,410
0-EU-ES-28-07-001-079-06-005,Valdeacederas,193000.0,2988.56209150327,69.0,878
0-EU-ES-28-07-001-079-06-006,Berruguete,187000.0,3015.50480769231,65.0,770
0-EU-ES-28-07-001-079-07-001,Gaztambide,550000.0,4822.38747553816,115.0,906
0-EU-ES-28-07-001-079-07-002,Arapiles,421000.0,5129.500580720095,80.0,918
0-EU-ES-28-07-001-079-07-003,Trafalgar,454500.0,5320.919540229885,85.0,908
0-EU-ES-28-07-001-079-07-004,Almagro,897000.0,6022.004343382725,157.0,980
0-EU-ES-28-07-001-079-07-005,Nuevos Ministerios-Ríos Rosas,542500.0,5064.70315398887,105.0,802
0-EU-ES-28-07-001-079-07-006,Vallehermoso,651500.0,4538.013797068121,145.0,476
0-EU-ES-28-07-001-079-08-001,El Pardo,196000.0,2416.66666666667,85.0,23
0-EU-ES-28-07-001-079-08-002,Fuentelarreina,715000.0,3402.77777777778,200.0,83
0-EU-ES-28-07-001-079-08-003,Peñagrande,307000.0,3320.0,90.0,561
0-EU-ES-28-07-001-079-08-004,Pilar,204500.0,3137.74300616406,65.0,610
0-EU-ES-28-07-001-079-08-005,La Paz,436500.0,3536.18181818182,125.0,352
0-EU-ES-28-07-001-079-08-006,Tres Olivos - Valverde,166500.0,2306.3311688311696,81.0,434
0-EU-ES-28-07-001-079-08-007,Mirasierra,791000.0,3843.13725490196,204.0,195
0-EU-ES-28-07-001-079-08-008,Montecarmelo,507000.0,4426.54986522911,119.5,206
0-EU-ES-28-07-001-079-08-009,Las Tablas,443000.0,4238.80597014925,105.0,243
0-EU-ES-28-07-001-079-08-010,Arroyo del Fresno,450000.0,4063.15789473684,107.0,59
0-EU-ES-28-07-001-079-09-001,Casa de Campo,324000.0,3640.0,88.0,277
0-EU-ES-28-07-001-079-09-002,Argüelles,571500.0,4757.166666666665,118.0,948
0-EU-ES-28-07-001-079-09-003,Ciudad Universitaria,508500.0,4048.243296790385,129.5,306
0-EU-ES-28-07-001-079-09-004,Valdezarza,209000.0,2983.33333333333,74.0,485
0-EU-ES-28-07-001-079-09-005,Valdemarín,758000.0,4520.0,173.0,213
0-EU-ES-28-07-001-079-09-006,El Plantío,586000.0,3717.708333333335,152.5,32
0-EU-ES-28-07-001-079-09-007,Aravaca,480000.0,3955.35714285714,116.0,453
0-EU-ES-28-07-001-079-10-001,Los Cármenes,154000.0,2174.358974358975,78.0,310
0-EU-ES-28-07-001-079-10-002,Puerta del Ángel,157000.0,2419.67741935484,70.0,994
0-EU-ES-28-07-001-079-10-003,Lucero,161000.0,2128.20512820513,77.0,667
0-EU-ES-28-07-001-079-10-004,Aluche,165000.0,2125.8241758241747,79.0,1078
0-EU-ES-28-07-001-079-10-005,Campamento,144000.0,2113.846153846155,70.0,240
0-EU-ES-28-07-001-079-10-006,Cuatro Vientos,163500.0,2321.4285714285697,72.0,18
0-EU-ES-28-07-001-079-10-007,Águilas,148000.0,1971.42857142857,75.0,525
0-EU-ES-28-07-001-079-11-001,Comillas,179500.0,2406.084656084655,80.0,514
0-EU-ES-28-07-001-079-11-002,Opañel,155000.0,2194.546568627455,74.0,746
0-EU-ES-28-07-001-079-11-003,San Isidro,147000.0,2048.38709677419,72.0,839
0-EU-ES-28-07-001-079-11-004,Vista Alegre,145000.0,2000.0,74.0,908
0-EU-ES-28-07-001-079-11-005,Puerta Bonita,124000.0,1750.0,73.0,809
0-EU-ES-28-07-001-079-11-006,Buena Vista,132000.0,1866.07142857143,71.0,631
0-EU-ES-28-07-001-079-11-007,Abrantes,132000.0,1788.23529411765,77.0,579
0-EU-ES-28-07-001-079-11-008,Pau de Carabanchel,226000.0,2891.57608695652,81.0,248
0-EU-ES-28-07-001-079-12-001,Orcasitas,167000.0,1555.55555555556,104.0,249
0-EU-ES-28-07-001-079-12-002,12 de Octubre-Orcasur,149000.0,1494.25287356322,100.0,217
0-EU-ES-28-07-001-079-12-003,San Fermín,163000.0,1784.848484848485,89.0,322
0-EU-ES-28-07-001-079-12-004,Almendrales,148000.0,2010.41666666667,75.0,377
0-EU-ES-28-07-001-079-12-005,Moscardó,157500.0,2094.776119402985,77.0,554
0-EU-ES-28-07-001-079-12-006,Zofío,127000.0,1783.33333333333,70.0,243
0-EU-ES-28-07-001-079-12-007,Pradolongo,145000.0,1884.336677814935,77.5,370
0-EU-ES-28-07-001-079-13-001,Entrevías,118000.0,1372.154963680385,83.0,566
0-EU-ES-28-07-001-079-13-002,San Diego,115000.0,1734.69387755102,65.0,1283
0-EU-ES-28-07-001-079-13-003,Palomeras Bajas,130000.0,1847.8535353535349,71.0,556
0-EU-ES-28-07-001-079-13-004,Palomeras sureste,154500.0,1846.25668449198,87.5,768
0-EU-ES-28-07-001-079-13-005,Portazgo,127000.0,1736.6666666666652,73.0,532
0-EU-ES-28-07-001-079-13-006,Numancia,129500.0,1914.28571428571,68.0,998
0-EU-ES-28-07-001-079-14-001,Pavones,195500.0,2157.835144927535,90.0,104
0-EU-ES-28-07-001-079-14-002,Horcajo,339000.0,3356.06060606061,114.0,33
0-EU-ES-28-07-001-079-14-003,Marroquina,242000.0,2670.32967032967,91.0,221
0-EU-ES-28-07-001-079-14-004,Media Legua,176000.0,2453.38753387534,80.5,166
0-EU-ES-28-07-001-079-14-005,Fontarrón,157000.0,2148.18796068796,75.0,274
0-EU-ES-28-07-001-079-14-006,Vinateros,161000.0,2323.07692307692,73.0,249
0-EU-ES-28-07-001-079-15-001,Ventas,171000.0,2543.47826086957,70.0,911
0-EU-ES-28-07-001-079-15-002,Pueblo Nuevo,166000.0,2403.84615384615,72.0,1389
0-EU-ES-28-07-001-079-15-003,Quintana,196000.0,2705.26315789474,74.0,567
0-EU-ES-28-07-001-079-15-004,Concepción,249000.0,3173.07692307692,77.0,417
0-EU-ES-28-07-001-079-15-005,San Pascual,258500.0,3492.4242424242448,80.0,342
0-EU-ES-28-07-001-079-15-006,San Juan Bautista,405000.0,3877.77777777778,104.0,209
0-EU-ES-28-07-001-079-15-007,Colina,369000.0,4129.87012987013,93.0,153
0-EU-ES-28-07-001-079-15-008,Atalaya,425000.0,4099.0990990991,96.0,63
0-EU-ES-28-07-001-079-15-009,Costillares,517000.0,4024.24242424242,131.0,417
0-EU-ES-28-07-001-079-16-001,Palomas,725000.0,4361.11111111111,165.0,95
0-EU-ES-28-07-001-079-16-002,Conde Orgaz-Piovera,714000.0,4926.55367231638,138.0,247
0-EU-ES-28-07-001-079-16-003,Canillas,275000.0,3106.3829787234,88.0,537
0-EU-ES-28-07-001-079-16-004,Pinar del Rey,202000.0,2707.86516853933,78.0,781
0-EU-ES-28-07-001-079-16-005,Apóstol Santiago,195000.0,2371.42857142857,81.0,203
0-EU-ES-28-07-001-079-16-006,Valdebebas - Valdefuentes,507000.0,3713.37579617834,142.0,309
0-EU-ES-28-07-001-079-16-007,Virgen del Cortijo - Manoteras,304500.0,3434.21052631579,93.5,266
0-EU-ES-28-07-001-079-16-008,Sanchinarro,440000.0,4185.18518518519,107.0,437
0-EU-ES-28-07-001-079-17-001,San Andrés,116000.0,1500.0,75.0,1264
0-EU-ES-28-07-001-079-17-002,San Cristóbal,76000.0,1160.0,64.0,267
0-EU-ES-28-07-001-079-17-003,Butarque,187000.0,1981.47512864494,91.5,418
0-EU-ES-28-07-001-079-17-004,Los Rosales,125000.0,1600.0,75.0,448
0-EU-ES-28-07-001-079-17-005,Los Ángeles,146000.0,1640.8253205128199,89.5,476
0-EU-ES-28-07-001-079-18-001,Casco Histórico de Vallecas,137000.0,1871.008403361345,71.0,750
0-EU-ES-28-07-001-079-18-002,Santa Eugenia,188500.0,2053.76344086022,93.0,348
0-EU-ES-28-07-001-079-18-003,Ensanche de Vallecas - La Gavia,218000.0,2574.07407407407,87.0,975
0-EU-ES-28-07-001-079-19-001,Casco Histórico de Vicálvaro,146000.0,1961.53846153846,70.0,181
0-EU-ES-28-07-001-079-19-002,Ambroz,121000.0,1916.66666666667,64.0,271
0-EU-ES-28-07-001-079-19-003,Valdebernardo - Valderribas,265500.0,2558.15160955348,105.0,184
0-EU-ES-28-07-001-079-19-004,El Cañaveral - Los Berrocales,205000.0,2000.0,104.0,318
0-EU-ES-28-07-001-079-20-001,Simancas,169000.0,2320.0,72.0,715
0-EU-ES-28-07-001-079-20-002,Hellín,110500.0,1750.0,60.0,172
0-EU-ES-28-07-001-079-20-003,Amposta,98000.0,1738.46153846154,55.0,251
0-EU-ES-28-07-001-079-20-004,Arcos,150500.0,1935.133239831695,80.0,320
0-EU-ES-28-07-001-079-20-005,Rosas,314000.0,3030.76923076923,99.0,343
0-EU-ES-28-07-001-079-20-006,Rejas,267000.0,3049.69135802469,93.0,470
0-EU-ES-28-07-001-079-20-007,Canillejas,168000.0,2130.2790346908,77.5,466
0-EU-ES-28-07-001-079-20-008,Salvador,305000.0,3297.87234042553,94.0,173
0-EU-ES-28-07-001-079-21-001,Alameda de Osuna,348000.0,3144.9494949494947,110.0,246
0-EU-ES-28-07-001-079-21-002,Aeropuerto,112000.0,1900.0,56.0,37
0-EU-ES-28-07-001-079-21-003,Casco Histórico de Barajas,212500.0,2898.28473413379,75.5,164
0-EU-ES-28-07-001-079-21-004,Timón,254500.0,3127.913752913755,85.0,156
0-EU-ES-28-07-001-079-21-005,Campo de las Naciones-Corralejos,417000.0,3919.5236723326598,109.5,128
